Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
FC,3,N,3D,00,00,0,*,0.0001,1.0000
FC,3,N,3D,00,00,1,*,0.0001,1.0000
FC,3,N,3D,00,00,2,*,0.0001,1.0000
FC,5,N,3D,00,00,0,*,0.0001,1.0000
FC,5,N,3D,00,00,1,*,0.0001,1.0000
FC,5,N,3D,00,00,2,*,0.0001,1.0000
FC,3,N,5D,00,00,0,*,0.0001,1.0000
FC,3,N,5D,00,00,1,*,0.0001,1.0000
FC,3,N,5D,00,00,2,*,0.0001,1.0000
FC,5,N,5D,00,00,0,*,0.0001,1.0000
FC,5,N,5D,00,00,1,*,0.0001,1.0000
FC,5,N,5D,00,00,2,*,0.0001,1.0000
FC,3,N,AD,00,00,0,*,0.0001,1.0000
FC,3,N,AD,00,00,1,*,0.0001,1.0000
FC,3,N,AD,00,00,2,*,0.0001,1.0000
FC,5,N,AD,00,00,0,*,0.0001,1.0000
FC,5,N,AD,00,00,1,*,0.0001,1.0000
FC,5,N,AD,00,00,2,*,0.0001,1.0000
FC,3,N,MA,00,00,0,*,0.0001,1.0000
FC,3,N,MA,00,00,1,*,0.0001,1.0000
FC,3,N,MA,00,00,2,*,0.0001,1.0000
FC,5,N,MA,00,00,0,*,0.0001,1.0000
FC,5,N,MA,00,00,1,*,0.0001,1.0000
FC,5,N,MA,00,00,2,*,0.0001,1.0000
FC,3,N,SP,00,00,0,*,0.0001,1.0000
FC,3,N,SP,00,00,1,*,0.0001,1.0000
FC,3,N,SP,00,00,2,*,0.0001,1.0000
FC,5,N,SP,00,00,0,*,0.0001,1.0000
FC,5,N,SP,00,00,1,*,0.0001,1.0000
FC,5,N,SP,00,00,2,*,0.0001,1.0000
FC,3,N,US,00,00,0,N1,0.0001,0.8125
FC,3,N,US,00,00,1,*,0.0001,0.8125
FC,3,N,US,00,00,2,*,0.0001,0.8125
FC,3,N,UA,00,00,0,N1,0.0001,0.8125
FC,3,N,UA,00,00,1,*,0.0001,0.8125
FC,3,N,UA,00,00,2,*,0.0001,0.8125
FC,3,N,U3,00,00,0,N1,0.0001,0.8125
FC,3,N,U3,00,00,1,*,0.0001,0.8125
FC,3,N,U3,00,00,2,*,0.0001,0.8125
FC,3,N,U5,00,00,0,N1,0.0001,0.8125
FC,3,N,U5,00,00,1,*,0.0001,0.8125
FC,3,N,U5,00,00,2,*,0.0001,0.8125
FC,3,N,S2,00,00,0,*,0.0001,0.8125
FC,3,N,S2,00,00,1,*,0.0001,0.8125
FC,3,N,S2,00,00,2,*,0.0001,0.8125
FC,5,N,S2,00,00,0,*,0.0001,0.8125
FC,5,N,S2,00,00,1,*,0.0001,0.8125
FC,5,N,S2,00,00,2,*,0.0001,0.8125
