Mail Class,Processing Category,Destination Rate Indicator,Rate Indicator,Min Zone,Max Zone,Barcode,Discount and Surcharge,Min Weight,Max Weight
PS,5,S,3D,00,00,0,*,0.0001,70
PS,5,S,3D,00,00,1,*,0.0001,70
PS,5,S,5D,00,00,0,*,0.0001,70
PS,5,S,5D,00,00,1,*,0.0001,70
PS,5,S,B3,00,00,0,*,0.0001,70
PS,5,S,B3,00,00,1,*,0.0001,70
PS,3,S,BN,00,00,0,*,0.0001,35
PS,3,S,BN,00,00,1,*,0.0001,35
PS,5,S,BN,00,00,0,*,0.0001,70
PS,5,S,BN,00,00,1,*,0.0001,70
PS,3,D,BN,00,00,0,*,0.0001,35
PS,3,D,BN,00,00,1,*,0.0001,35
PS,5,D,BN,00,00,0,*,0.0001,70
PS,5,D,BN,00,00,1,*,0.0001,70
PS,3,B,BN,01,05,0,*,0.0001,70
PS,3,B,BN,01,05,1,*,0.0001,35
PS,5,B,BN,01,05,0,*,0.0001,70
PS,5,B,BN,01,05,1,*,0.0001,70
PS,5,S,OS,00,00,0,*,0.0001,70
PS,5,S,OS,00,00,1,*,0.0001,70
PS,5,D,OS,00,00,0,*,0.0001,70
PS,5,D,OS,00,00,1,*,0.0001,70
PS,5,B,OS,01,05,0,*,0.0001,70
PS,5,B,OS,01,05,1,*,0.0001,70
PS,5,D,SP,00,00,0,*,0.0001,70
PS,5,D,SP,00,00,1,*,0.0001,70
PS,3,B,SP,01,05,0,*,0.0001,70
PS,3,B,SP,01,05,1,*,0.0001,35
PS,5,B,SP,01,05,0,*,0.0001,70
PS,5,B,SP,01,05,1,*,0.0001,70
PS,3,D,SP,00,00,0,*,0.0001,35
PS,3,D,SP,00,00,1,*,0.0001,35
PS,3,S,SP,00,00,0,*,0.0001,35
PS,3,S,SP,00,00,1,*,0.0001,35
PS,3,N,SP,01,08,0,D3,0.0001,70
PS,3,N,BN,01,08,0,D3,0.0001,70
PS,3,N,SP,01,08,1,D9,0.0001,70
PS,3,N,BN,01,08,1,D9,0.0001,70
PS,3,N,SP,01,08,1,D3,0.0001,70
PS,3,N,BN,01,08,1,D3,0.0001,70
PS,5,N,SP,01,08,0,D3,0.0001,70
PS,5,N,BN,01,08,0,D3,0.0001,70
PS,5,N,SP,01,08,1,D3,0.0001,70
PS,5,N,BN,01,08,1,D3,0.0001,70
PS,5,N,OS,01,08,0,D3,0.0001,70
PS,5,N,OS,01,08,1,D3,0.0001,70
PS,3,N,SP,01,08,0,D2,0.0001,70
PS,3,N,BN,01,08,0,D2,0.0001,70
PS,3,N,SP,01,08,1,D8,0.0001,70
PS,3,N,BN,01,08,1,D8,0.0001,70
PS,3,N,SP,01,08,1,D2,0.0001,70
PS,3,N,BN,01,08,1,D2,0.0001,70
PS,5,N,SP,01,08,0,D2,0.0001,70
PS,5,N,BN,01,08,0,D2,0.0001,70
PS,5,N,SP,01,08,1,D2,0.0001,70
PS,5,N,BN,01,08,1,D2,0.0001,70
PS,5,N,OS,01,08,0,D2,0.0001,70
PS,5,N,OS,01,08,1,D2,0.0001,70
PS,3,N,SP,01,08,0,*,0.0001,70
PS,3,N,SP,01,08,1,*,0.0001,70
PS,3,N,SP,01,08,2,*,0.0001,70
PS,5,N,SP,01,08,0,*,0.0001,70
PS,5,N,SP,01,08,1,*,0.0001,70
PS,5,N,SP,01,08,2,*,0.0001,70
PS,3,N,BN,01,08,0,*,0.0001,70
PS,3,N,BN,01,08,1,*,0.0001,70
PS,3,N,BN,01,08,2,*,0.0001,70
PS,5,N,BN,01,08,0,*,0.0001,70
PS,5,N,BN,01,08,1,*,0.0001,70
PS,5,N,BN,01,08,2,*,0.0001,70
PS,5,N,OS,01,08,0,*,0.0001,70
PS,5,N,OS,01,08,1,*,0.0001,70
PS,5,N,OS,01,08,2,*,0.0001,70
PS,3,N,RG,LC,03,1,*,0.0001,5
PS,3,N,RG,LC,03,2,*,0.0001,5
PS,3,S,RG,LC,03,1,*,0.0001,5
PS,3,S,RG,LC,03,2,*,0.0001,5
PS,3,B,RG,LC,03,1,*,0.0001,70
PS,3,B,RG,LC,03,2,*,0.0001,70
